symbol_mrna,TCGA.BR.7715,TCGA.VQ.A91D,TCGA.D7.6527,TCGA.VQ.A8PU,TCGA.IN.A7NR,TCGA.HU.A4H0,TCGA.VQ.A94R,TCGA.CD.8525,TCGA.VQ.A94T,TCGA.BR.6565,TCGA.HU.A4GD,TCGA.VQ.A91Z,TCGA.HU.8608,TCGA.BR.4267,TCGA.VQ.A94U,TCGA.RD.A8MW,TCGA.BR.7722,TCGA.R5.A7ZE,TCGA.VQ.A8PO,TCGA.RD.A8N2,TCGA.HU.A4H2,TCGA.HU.A4GN,TCGA.BR.8680,TCGA.VQ.AA6F,TCGA.CD.8535,TCGA.BR.4257,TCGA.CD.A48A,TCGA.IN.A6RJ,TCGA.BR.8367,TCGA.BR.8683,TCGA.BR.8077,TCGA.BR.6454,TCGA.BR.6801,TCGA.CD.A4MG,TCGA.BR.8362,TCGA.BR.4366,TCGA.CD.5803,TCGA.CG.5716,TCGA.D7.6525,TCGA.CD.8531,TCGA.HU.A4H8,TCGA.VQ.A8DT,TCGA.BR.A4QL,TCGA.D7.A6F0,TCGA.D7.A4YV,TCGA.CD.8529,TCGA.B7.A5TN,TCGA.R5.A7O7,TCGA.D7.A6EZ,TCGA.HU.A4GJ,TCGA.CD.8526,TCGA.CG.4440,TCGA.VQ.A94P,TCGA.HF.7134,TCGA.BR.6710,TCGA.BR.8381,TCGA.BR.6455,TCGA.CD.8532,TCGA.BR.8361,TCGA.BR.8059,TCGA.BR.8679,TCGA.VQ.A925,TCGA.BR.A4CR,TCGA.CD.A48C,TCGA.CD.A4MJ,TCGA.VQ.AA6K,TCGA.BR.8291,TCGA.SW.A7EA,TCGA.HU.A4GT,TCGA.VQ.AA6I,TCGA.BR.7959,TCGA.VQ.A8PC,TCGA.BR.6456,TCGA.VQ.A923,TCGA.VQ.A927,TCGA.CD.5804,TCGA.CD.A486,TCGA.VQ.A8PQ,TCGA.HU.A4GC,TCGA.CD.8534,TCGA.BR.8590,TCGA.D7.8570,TCGA.CG.4441,TCGA.D7.8578,TCGA.F1.A72C,TCGA.BR.8677,TCGA.CG.5723,TCGA.BR.A4QI,TCGA.BR.8364,TCGA.D7.6521,TCGA.BR.A4IZ,TCGA.HF.7133,TCGA.CD.5798,TCGA.VQ.A8PP,TCGA.IN.A6RN,TCGA.RD.A8N6,TCGA.D7.A6EX,TCGA.KB.A93J,TCGA.VQ.A91X,TCGA.CG.5720,TCGA.BR.A4QM,TCGA.CG.4436,TCGA.BR.6457,TCGA.HU.8610,TCGA.VQ.A91W,TCGA.BR.7704,TCGA.HU.A4H3,TCGA.BR.8591,TCGA.BR.8678,TCGA.CG.4443,TCGA.BR.8487,TCGA.CG.4444,TCGA.VQ.A94O,TCGA.BR.7723,TCGA.BR.4361,TCGA.RD.A8NB,TCGA.HU.8249,TCGA.BR.6707,TCGA.BR.A4IY,TCGA.BR.4191,TCGA.HU.A4GF,TCGA.CG.5724,TCGA.CG.4475,TCGA.CG.4465,TCGA.BR.8484,TCGA.CG.4442,TCGA.BR.7957,TCGA.FP.8631,TCGA.EQ.A4SO,TCGA.BR.6563,TCGA.CD.5801,TCGA.B7.A5TJ,TCGA.CG.5732,TCGA.VQ.A8P3,TCGA.B7.A5TK,TCGA.HU.8604,TCGA.D7.5577,TCGA.D7.6818,TCGA.BR.8676,TCGA.BR.8380,TCGA.CG.4305,TCGA.FP.A4BE,TCGA.VQ.A8P5,TCGA.VQ.A8PF,TCGA.MX.A666,TCGA.B7.5818,TCGA.F1.6874,TCGA.BR.8286,TCGA.VQ.A8E7,TCGA.HU.A4H4,TCGA.D7.8574,TCGA.IN.A6RR,TCGA.HU.A4GU,TCGA.FP.8099,TCGA.D7.6820,TCGA.BR.A4PD,TCGA.BR.8486,TCGA.R5.A7ZF,TCGA.CD.A4MH,TCGA.IN.7806,TCGA.D7.A748,TCGA.D7.6815,TCGA.CD.8528,TCGA.BR.7851,TCGA.D7.8572,TCGA.BR.8485,TCGA.BR.8686,TCGA.BR.6706,TCGA.IN.7808,TCGA.IP.7968,TCGA.FP.7829,TCGA.BR.7196,TCGA.FP.7735,TCGA.VQ.A8PH,TCGA.D7.8579,TCGA.D7.6528,TCGA.VQ.AA64,TCGA.BR.8483,TCGA.CG.4306,TCGA.CG.5719,TCGA.D7.6524,TCGA.CD.8530,TCGA.HF.7131,TCGA.CD.A489,TCGA.BR.4253,TCGA.CG.5717,TCGA.BR.A4J8,TCGA.VQ.A91Q,TCGA.CG.4304,TCGA.CD.A487,TCGA.D7.8573,TCGA.CG.4437,TCGA.BR.A44U,TCGA.D7.6518,TCGA.BR.A4J1,TCGA.D7.6520,TCGA.BR.8372,TCGA.BR.A452,TCGA.HU.A4HD,TCGA.SW.A7EB,TCGA.BR.8384,TCGA.VQ.AA6A,TCGA.BR.4370,TCGA.RD.A7C1,TCGA.BR.6452,TCGA.BR.8295,TCGA.BR.7901,TCGA.HF.7132,TCGA.BR.8078,TCGA.IN.A6RS,TCGA.BR.4369,TCGA.BR.A4PF,TCGA.BR.A4J5,TCGA.VQ.A8P8,TCGA.HU.8602,TCGA.HJ.7597,TCGA.D7.5578,TCGA.VQ.A91S,TCGA.VQ.AA6J,TCGA.BR.6709,TCGA.CD.5813,TCGA.CG.4438,TCGA.FP.8211,TCGA.D7.6522,TCGA.BR.8080,TCGA.BR.4367,TCGA.HU.A4G8,TCGA.FP.A4BF,TCGA.BR.4279,TCGA.D7.A4YU,TCGA.VQ.A91U,TCGA.BR.8284,TCGA.BR.4255,TCGA.RD.A8N9,TCGA.BR.A4J7,TCGA.FP.8210,TCGA.VQ.A91N,TCGA.VQ.A8PX,TCGA.BR.8690,TCGA.CG.4460,TCGA.VQ.A8PB,TCGA.HU.A4H6,TCGA.VQ.AA6G,TCGA.IN.8462,TCGA.HU.A4G6,TCGA.MX.A5UJ,TCGA.HU.A4GQ,TCGA.RD.A7BS,TCGA.BR.8058,TCGA.VQ.A8P2,TCGA.BR.8296,TCGA.BR.4294,TCGA.CG.5733,TCGA.BR.7197,TCGA.BR.A4J4,TCGA.FP.8209,TCGA.BR.4256,TCGA.BR.A4J9,TCGA.CG.5728,TCGA.F1.6875,TCGA.HU.8243,TCGA.VQ.A8E3,TCGA.BR.7716,TCGA.BR.8373,TCGA.FP.A9TM,TCGA.BR.8368,TCGA.VQ.A8PM,TCGA.D7.6519,TCGA.VQ.A8DU,TCGA.BR.4280,TCGA.D7.A4YY,TCGA.CG.5718,TCGA.VQ.A8PK,TCGA.BR.6802,TCGA.CG.5726,TCGA.BR.A4CS,TCGA.BR.4368,TCGA.CG.4301,TCGA.VQ.A8DV,TCGA.D7.6526,TCGA.KB.A93H,TCGA.ZA.A8F6,TCGA.BR.6705,TCGA.HF.A5NB,TCGA.BR.A4J6,TCGA.R5.A7ZI,TCGA.BR.7707,TCGA.BR.8289,TCGA.VQ.A91Y,TCGA.BR.8081,TCGA.VQ.AA69,TCGA.D7.6822,TCGA.CG.5722,TCGA.IN.A7NT,TCGA.CG.5721,TCGA.HF.7136,TCGA.D7.A4YT,TCGA.D7.8576,TCGA.HU.A4H5,TCGA.BR.8687,TCGA.CD.8524,TCGA.D7.6817,TCGA.BR.8589,TCGA.VQ.A922,TCGA.D7.A747,TCGA.BR.7958,TCGA.VQ.AA68,TCGA.MX.A663,TCGA.FP.A8CX,TCGA.BR.6453,TCGA.HU.A4GY,TCGA.IN.AB1X,TCGA.BR.6566,TCGA.3M.AB47,TCGA.BR.A4IU,TCGA.IN.A6RI,TCGA.VQ.A91K,TCGA.CD.5800,TCGA.RD.A8N1,TCGA.BR.8363,TCGA.BR.A44T,TCGA.BR.6458,TCGA.BR.4201,TCGA.BR.6852,TCGA.FP.7916,TCGA.D7.A6EY,TCGA.BR.8371,TCGA.HU.A4HB,TCGA.BR.A4IV,TCGA.BR.8366,TCGA.BR.7717,TCGA.VQ.A91A,TCGA.FP.7998,TCGA.BR.A4J2,TCGA.CG.5734,TCGA.IN.A6RL,TCGA.RD.A7BW,TCGA.VQ.A8PJ,TCGA.MX.A5UG,TCGA.VQ.A8DZ,TCGA.HU.A4GP,TCGA.BR.6803,TCGA.VQ.A924,TCGA.BR.8382,TCGA.BR.4187,TCGA.BR.4357,TCGA.B7.5816,TCGA.KB.A93G,TCGA.B7.A5TI,TCGA.EQ.8122,TCGA.BR.8060,TCGA.CD.8536,TCGA.IN.8663,TCGA.BR.7703,TCGA.CG.5725,TCGA.VQ.A8PE,TCGA.CD.5799,TCGA.VQ.A92D,TCGA.R5.A7ZR,TCGA.BR.8588,TCGA.D7.A74A,TCGA.R5.A805,TCGA.HU.8244,TCGA.CG.4469,TCGA.VQ.A8E0,TCGA.IN.AB1V,TCGA.CD.8527,TCGA.CD.8533,TCGA.HU.8238,TCGA.BR.A4PE,TCGA.VQ.A8PD,TCGA.BR.4292,TCGA.BR.8592,TCGA.VQ.A928,TCGA.CG.4466,TCGA.VQ.A91V,TCGA.VQ.AA6B,TCGA.BR.8365,TCGA.3M.AB46,TCGA.HU.A4G2,TCGA.HU.A4G9,TCGA.RD.A8MV,TCGA.BR.8369,TCGA.IN.A6RO,TCGA.BR.A453,TCGA.HU.A4GH,TCGA.F1.6177,TCGA.IN.A7NU,TCGA.VQ.AA6D,TCGA.CG.4477,TCGA.HU.A4GX,TCGA.RD.A8N4,TCGA.BR.4363,TCGA.CD.A4MI,TCGA.BR.8682,TCGA.F1.A448,TCGA.RD.A8N5,TCGA.D7.A4YX,TCGA.HU.A4G3,TCGA.CG.5730,TCGA.RD.A8N0,TCGA.ZQ.A9CR,TCGA.D7.A6F2,TCGA.RD.A7BT,TCGA.D7.8575,TCGA.CG.4462,TCGA.D7.A4Z0,TCGA.BR.6564,TCGA.D7.A6EV,TCGA.VQ.A91E,TCGA.BR.8297,TCGA.KB.A6F7,TCGA.VQ.A8E2,TCGA.CG.4476,TCGA.BR.4371
MLH1,1272,1504,2409,1561,435,5297,2189,883,2429,1621,979,2670,2725,3538,1515,1409,1025,1336,616,1975,3060,1915,1076,2108,3466,579,1450,415,1559,1691,955,1022,1142,426,2399,3640,1503,1881,1621,2533,268,2319,147,2288,984,1716,1298,397,3197,3630,1925,2599,2512,1478,885,1319,4252,2109,294,1597,1839,1833,3100,2386,445,1860,1365,152,161,4769,2250,2520,1695,2663,1912,1114,1738,2809,1383,2015,1581,1832,2456,1238,1270,996,396,3440,1574,1161,3180,2220,1170,445,557,2283,1597,1946,1087,755,799,2167,1107,1767,3923,1182,256,524,2942,1732,891,1549,2416,1667,717,821,1211,1026,2573,1778,1900,1189,2975,619,1781,331,1836,494,2819,1484,732,201,1781,1733,2118,1589,1372,1399,823,2214,808,2444,1283,3146,2300,1029,739,2150,1162,747,1323,994,177,1394,1714,2059,1867,869,1212,1316,585,2136,783,476,2577,1106,1172,1443,1733,2897,2869,1936,1449,1516,1889,2023,2195,717,755,1365,2100,1257,1425,1856,4121,1602,1410,2926,1772,989,2334,1054,670,1257,3026,1553,660,2512,2589,372,1164,2215,1863,689,612,1727,1370,1237,554,998,2353,2477,2253,1497,412,303,1304,1589,3513,1374,1019,1611,1646,1342,1564,2203,410,1894,2219,3853,1139,2741,3625,1853,1352,1967,3174,677,337,2333,431,1371,2241,1752,1900,890,490,478,1463,120,1389,2861,844,1506,1482,1780,2154,2312,486,2064,1947,580,1877,1418,2163,303,1913,1290,1460,333,500,1534,1335,350,85,1446,1024,2190,1583,2065,1440,1712,1042,205,1805,327,185,1076,2028,867,3977,3578,1110,2297,374,3111,1924,2169,3240,1251,1683,1846,1786,1587,734,1067,3361,2174,2936,1246,2266,2598,302,1589,2730,1802,484,1702,1504,805,1878,2499,1051,1678,1929,568,2002,2611,2755,2247,830,3653,2803,2836,512,765,854,2019,2430,2491,2730,1313,253,158,2279,1762,610,1804,688,2126,1415,563,2158,2360,2339,2997,1334,2301,1487,1101,1991,1975,1006,2268,2423,1813,225,2332,847,2991,2424,740,2608,3276,1672,1565,2239,1930,1911,3878,68,1764,938,2297,2787,2058,170,527,120,1917,465,2851,900,1636,1285,752,1184,3136,1924,459,1980,1204,1170,2153,2021,2181,2143,955,432,875,1971,1426,2699,2366,1447
MSI,MSS,MSI-H,MSI-L,MSS,MSS,MSS,MSI-L,MSS,MSI-L,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-H,MSS,MSS,MSI-H,MSS,MSS,MSS,MSI-H,MSI-L,MSS,MSS,MSI-L,MSS,MSS,MSI-L,MSI-H,MSS,MSS,MSS,MSS,MSI-L,MSS,MSI-H,MSS,MSI-H,MSS,MSI-H,MSS,MSS,MSS,MSS,MSS,MSS,MSI-L,MSS,MSI-L,MSS,MSS,MSS,MSS,MSI-H,MSI-H,MSI-L,MSS,MSS,MSS,MSI-H,MSS,MSS,MSI-H,MSI-H,MSS,MSI-L,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-L,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-H,MSS,MSS,MSI-L,MSS,MSS,MSS,MSI-H,MSS,MSS,MSS,MSS,MSI-L,MSI-L,MSS,MSI-L,MSS,MSS,MSI-L,MSS,MSI-H,MSI-H,MSS,MSS,MSI-H,MSS,MSS,MSI-L,MSI-H,MSI-H,MSS,MSS,MSS,MSS,MSS,MSI-L,MSS,MSI-H,MSS,MSI-H,MSS,MSS,MSI-L,MSS,MSS,MSI-H,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-L,MSI-H,MSI-H,MSI-L,MSS,MSS,MSI-L,MSI-H,MSI-L,MSS,MSI-H,MSS,MSS,MSI-H,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-L,MSI-H,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-L,MSS,MSS,MSI-H,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-L,MSI-L,MSS,MSS,MSS,MSS,MSI-H,MSS,MSI-L,MSS,MSS,MSS,MSI-H,MSS,MSI-H,MSI-L,MSS,MSI-H,MSI-H,MSS,MSS,MSS,MSS,MSS,MSI-H,MSI-H,MSI-L,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-H,MSS,MSS,MSS,MSS,MSI-H,MSS,MSS,MSS,MSS,MSS,MSI-H,MSI-L,MSI-H,MSI-H,MSS,MSS,MSI-L,MSS,MSI-H,MSI-H,MSS,MSI-L,MSI-H,MSS,MSI-L,MSI-H,MSS,MSI-L,MSS,MSI-H,MSS,MSI-H,MSS,MSS,MSI-H,MSS,MSI-L,MSS,MSI-H,MSS,MSS,MSS,MSI-H,MSI-H,MSS,MSS,MSI-H,MSI-H,MSS,MSI-H,MSS,MSS,MSS,MSS,MSS,MSI-L,MSI-H,MSS,MSI-H,MSI-H,MSS,MSS,MSI-H,MSS,MSS,MSS,MSI-L,MSI-H,MSS,MSS,MSS,MSS,MSS,MSI-L,MSS,MSS,MSI-L,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-L,MSI-H,MSI-L,MSS,MSS,MSI-H,MSS,MSS,MSI-H,MSS,MSI-L,MSI-H,MSI-H,MSS,MSI-H,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSS,MSI-L,MSS,MSS,MSS,MSS,MSS,MSI-L,MSS,MSI-H,MSI-H,MSS,MSS,MSI-H,MSS,MSI-H,MSS,MSS,MSI-H,MSI-L,MSI-H,MSS,MSS,MSS,MSI-L,MSS,MSS,MSS,MSI-L,MSI-L,MSI-L,MSS,MSS,MSI-L,MSI-L,MSS,MSS,MSS,MSI-H,MSS,MSS,MSI-L,MSS,MSS,MSS,MSS,MSS,MSI-H,MSS,MSS,MSI-L,MSS,MSS,MSI-H,MSS,MSI-H,MSS,MSI-H,MSS,MSI-H,MSI-H,MSS,MSI-H,MSS,MSS,MSS,MSS,MSS,MSI-L,MSS,MSI-L,MSS,MSS,MSS,MSS,MSI-L,MSI-H,MSS,MSS,MSS,MSS,MSS
